Unix Time,Predicted Importance,Date & Time
1639245440,2.4,11/12/2021 17:57:20
1639241120,2.4,11/12/2021 16:45:20
1639226916,2.3,11/12/2021 12:48:36
1639224759,1.5,11/12/2021 12:12:39
1639156053,1,10/12/2021 17:07:33
1639152979,1.5,10/12/2021 16:16:19
1639152017,4.1,10/12/2021 16:00:17
1639149860,1.5,10/12/2021 15:24:20
1639149618,1.5,10/12/2021 15:20:18
1639149256,6.7,10/12/2021 15:14:16
1639063221,7,09/12/2021 15:20:21
1639063220,7,09/12/2021 15:20:20
1639063098,7,09/12/2021 15:18:18
1639063096,7,09/12/2021 15:18:16
1639061531,1.5,09/12/2021 14:52:11
1639061288,2.2,09/12/2021 14:48:08
1639059964,1.8,09/12/2021 14:26:04
1639057656,1.7,09/12/2021 13:47:36
1639053832,1.7,09/12/2021 12:43:52
1639053590,1.5,09/12/2021 12:39:50
1639053349,6.7,09/12/2021 12:35:49
1639046719,1.5,09/12/2021 10:45:19
1639046357,1.5,09/12/2021 10:39:17
1639045755,1.6,09/12/2021 10:29:15
1639044899,7.8,09/12/2021 10:14:59
1639042433,6.8,09/12/2021 09:33:53
1638991300,1.5,08/12/2021 19:21:40
1638987435,1.6,08/12/2021 18:17:15
1638987192,1.4,08/12/2021 18:13:12
1638985989,1.6,08/12/2021 17:53:09
1638984666,2.4,08/12/2021 17:31:06
1638983136,5.5,08/12/2021 17:05:36
1638979437,4.7,08/12/2021 16:03:57
1638979435,4.7,08/12/2021 16:03:55
1638975875,1.5,08/12/2021 15:04:35
1638974752,1.7,08/12/2021 14:45:52
1638972226,1.5,08/12/2021 14:03:46
1638967201,5.1,08/12/2021 12:40:01
1638963360,5.1,08/12/2021 11:36:00
1638962364,1.5,08/12/2021 11:19:24
1638961762,2.5,08/12/2021 11:09:22
1638961160,1.5,08/12/2021 10:59:20
1638954851,1.8,08/12/2021 09:14:11
1638953287,5.5,08/12/2021 08:48:07
1638904317,1.8,07/12/2021 19:11:57
1638897596,1.4,07/12/2021 17:19:56
1638895073,5.2,07/12/2021 16:37:53
1638894231,4.8,07/12/2021 16:23:51
1638894108,6.7,07/12/2021 16:21:48
1638891585,1.5,07/12/2021 15:39:45
1638884395,1.5,07/12/2021 13:39:55
1638880984,1.5,07/12/2021 12:43:04
1638879902,5.1,07/12/2021 12:25:02
1638879901,5.1,07/12/2021 12:25:01
1638879780,5.1,07/12/2021 12:23:00
1638879779,5.1,07/12/2021 12:22:59
1638879778,5.1,07/12/2021 12:22:58
1638879656,5.1,07/12/2021 12:20:56
1638879535,5.1,07/12/2021 12:18:55
1638879533,4.8,07/12/2021 12:18:53
1638879292,5.1,07/12/2021 12:14:52
1638879291,5.1,07/12/2021 12:14:51
1638879170,4.6,07/12/2021 12:12:50
1638879168,5.1,07/12/2021 12:12:48
1638878926,8.2,07/12/2021 12:08:46
1638875334,1.6,07/12/2021 11:08:54
1638875212,1.5,07/12/2021 11:06:52
1638874849,7.8,07/12/2021 11:00:49
1638873996,2.4,07/12/2021 10:46:36
1638815784,1.8,06/12/2021 18:36:24
1638813927,2.5,06/12/2021 18:05:27
1638812843,1.5,06/12/2021 17:47:23
1638805506,1.6,06/12/2021 15:45:06
1638805144,2.5,06/12/2021 15:39:04
1638804902,1.4,06/12/2021 15:35:02
1638801029,1.5,06/12/2021 14:30:29
1638799465,10,06/12/2021 14:04:25
1638797797,10,06/12/2021 13:36:37
1638794089,1.8,06/12/2021 12:34:49
1638793487,10,06/12/2021 12:24:47
1638721150,1.5,05/12/2021 16:19:10
1638721030,1.5,05/12/2021 16:17:10
1638720908,1.5,05/12/2021 16:15:08
1638720253,1.5,05/12/2021 16:04:13
1638635744,5.3,04/12/2021 16:35:44
1638627807,1.5,04/12/2021 14:23:27
1638626483,1.7,04/12/2021 14:01:23
1638616414,1.5,04/12/2021 11:13:34
1638616052,1.8,04/12/2021 11:07:32
1638548839,1.5,03/12/2021 16:27:19
1638543575,1.8,03/12/2021 14:59:35
1638543093,1.5,03/12/2021 14:51:33
1638539416,2.4,03/12/2021 13:50:16
